time,k_app_h,co2_flow_L_h
0.0,0.001,1.0
0.1,0.001,1.0
0.2,0.001,1.0
0.3,0.001,1.0
0.4,0.001,1.0
0.5,0.001,1.0
0.6,0.001,1.0
0.7,0.001,1.0
0.8,0.001,1.0
0.9,0.001,1.0
1.0,0.001,1.0
1.1,0.001,1.0
1.2,0.001,1.0
1.3,0.001,1.0
1.4,0.001,1.0
1.5,0.001,1.0
1.6,0.001,1.0
1.7,0.001,1.0
1.8,0.001,1.0
1.9,0.001,1.0
2.0,0.001,1.0
2.1,0.001,1.0
2.2,0.001,1.0
2.3,0.001,1.0
2.4,0.001,1.0
2.5,0.001,1.0
2.6,0.001,1.0
2.7,0.001,1.0
2.8,0.001,1.0
2.9,0.001,1.0
3.0,0.001,1.0
3.1,0.001,1.0
3.2,0.0010000000000000007,1.0
3.3,0.0010000000000000007,1.0
3.4,0.0010000000000000007,1.0
3.5,0.0010000000000000007,1.0
3.6,0.0010000000000000007,1.0
3.7,0.0010000000000000007,1.0
3.8,0.0010000000000000007,1.0
3.9,0.0010000000000000007,1.0
4.0,0.0010000000000000007,1.0
4.1,0.0010000000000000007,1.0
4.2,0.0010000000000000007,1.0
4.3,0.001000000000000001,1.0
4.4,0.001000000000000001,1.0
4.5,0.001000000000000001,1.0
4.6,0.001000000000000001,1.0
4.7,0.001000000000000001,1.0
4.8,0.001000000000000001,1.0
4.9,0.0010000000000000018,1.0
5.0,0.0010000000000000018,1.0
5.1,0.0010000000000000018,1.0
5.2,0.0010000000000000022,1.0
5.3,0.0010000000000000022,1.0
5.4,0.0010000000000000028,1.0
5.5,0.0010000000000000028,1.0
5.6,0.0010000000000000033,1.0
5.7,0.0010000000000000033,1.0
5.8,0.001000000000000004,1.0
5.9,0.001000000000000004,1.0
6.0,0.0010000000000000044,1.0
6.1,0.0010000000000000052,1.0
6.2,0.0010000000000000059,1.0
6.3,0.0010000000000000063,1.0
6.4,0.001000000000000007,1.0
6.5,0.001000000000000008,1.0
6.6,0.0010000000000000085,1.0
6.7,0.0010000000000000098,1.0
6.8,0.0010000000000000102,1.0
6.9,0.0010000000000000113,1.0
7.0,0.0010000000000000124,1.0
7.1,0.0010000000000000143,1.0
7.2,0.0010000000000000154,1.0
7.3,0.0010000000000000172,1.0
7.4,0.0010000000000000187,1.0
7.5,0.001000000000000021,1.0
7.6,0.0010000000000000234,1.0
7.7,0.0010000000000000256,1.0
7.8,0.0010000000000000284,1.0
7.9,0.0010000000000000312,1.0
8.0,0.0010000000000000347,1.0
8.1,0.0010000000000000382,1.0
8.2,0.001000000000000042,1.0
8.3,0.0010000000000000466,1.0
8.4,0.0010000000000000518,1.0
8.5,0.0010000000000000568,1.0
8.6,0.0010000000000000631,1.0
8.7,0.0010000000000000692,1.0
8.8,0.0010000000000000768,1.0
8.9,0.0010000000000000852,1.0
9.0,0.0010000000000000937,1.0
9.1,0.0010000000000001039,1.0
9.2,0.0010000000000001147,1.0
9.3,0.0010000000000001269,1.0
9.4,0.0010000000000001403,1.0
9.5,0.0010000000000001553,1.0
9.6,0.0010000000000001713,1.0
9.7,0.001000000000000189,1.0
9.8,0.0010000000000002093,1.0
9.9,0.0010000000000002314,1.0
10.0,0.0010000000000002552,1.0
10.1,0.0010000000000002826,1.0
10.2,0.001000000000000312,1.0
10.3,0.001000000000000345,1.0
10.4,0.0010000000000003808,1.0
10.5,0.0010000000000004213,1.0
10.6,0.0010000000000004656,1.0
10.7,0.0010000000000005146,1.0
10.8,0.0010000000000005684,1.0
10.9,0.0010000000000006282,1.0
11.0,0.0010000000000006946,1.0
11.1,0.0010000000000007674,1.0
11.2,0.0010000000000008483,1.0
11.3,0.0010000000000009372,1.0
11.4,0.0010000000000010357,1.0
11.5,0.001000000000001145,1.0
11.6,0.0010000000000012655,1.0
11.7,0.0010000000000013984,1.0
11.8,0.0010000000000015457,1.0
11.9,0.0010000000000017083,1.0
12.0,0.0010000000000018878,1.0
12.1,0.001000000000002086,1.0
